period_name,window_months,window_start,window_end,oos_start,oos_end,pairs_selected,pairs_with_oos,portfolio_return,portfolio_sharpe,portfolio_drawdown,trades_executed,simulation_metrics
2018-2020_IS_2020-2021_OOS,12,2019-01-01,2020-01-01,2020-01-01,2021-01-01,223,223,1.000000,-1.407398,-0.344016,80295,"{'total_return': 0.0, 'sharpe_ratio': -1.407398035104103, 'max_drawdown': -0.34401647976937066, 'volatility': 0.1779126966282312, 'num_trades': 80295, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2018-2020_IS_2020-2021_OOS,15,2018-10-01,2020-01-01,2020-01-01,2021-01-01,222,222,1.000000,-1.447220,-0.347268,80047,"{'total_return': 0.0, 'sharpe_ratio': -1.4472200683983114, 'max_drawdown': -0.34726833731499634, 'volatility': 0.17858143772440407, 'num_trades': 80047, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2018-2020_IS_2020-2021_OOS,18,2018-07-01,2020-01-01,2020-01-01,2021-01-01,220,220,1.000000,-1.538829,-0.353511,79393,"{'total_return': 0.0, 'sharpe_ratio': -1.5388287516901464, 'max_drawdown': -0.35351111492660076, 'volatility': 0.17858241746048012, 'num_trades': 79393, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2018-2020_IS_2020-2021_OOS,21,2018-04-01,2020-01-01,2020-01-01,2021-01-01,219,219,1.000000,-1.560782,-0.354675,79185,"{'total_return': 0.0, 'sharpe_ratio': -1.560781765718839, 'max_drawdown': -0.3546754181600909, 'volatility': 0.17868027074268628, 'num_trades': 79185, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2018-2020_IS_2020-2021_OOS,24,2018-01-01,2020-01-01,2020-01-01,2021-01-01,219,219,1.000000,-1.560782,-0.354675,79185,"{'total_return': 0.0, 'sharpe_ratio': -1.560781765718839, 'max_drawdown': -0.3546754181600909, 'volatility': 0.17868027074268628, 'num_trades': 79185, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2019-2021_IS_2021-2022_OOS,12,2020-01-01,2021-01-01,2021-01-01,2022-01-01,1453,1453,1.000000,1.991983,-0.101225,459685,"{'total_return': 0.0, 'sharpe_ratio': 1.99198315456001, 'max_drawdown': -0.10122477612068781, 'volatility': 0.7669121915046876, 'num_trades': 459685, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2019-2021_IS_2021-2022_OOS,15,2019-10-01,2021-01-01,2021-01-01,2022-01-01,1435,1435,1.000000,1.981585,-0.101250,454893,"{'total_return': 0.0, 'sharpe_ratio': 1.981584830486009, 'max_drawdown': -0.10125002010440842, 'volatility': 0.7757266809103955, 'num_trades': 454893, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2019-2021_IS_2021-2022_OOS,18,2019-07-01,2021-01-01,2021-01-01,2022-01-01,1433,1433,1.000000,1.980671,-0.102271,453783,"{'total_return': 0.0, 'sharpe_ratio': 1.9806710771434204, 'max_drawdown': -0.10227134874513522, 'volatility': 0.7770209866712919, 'num_trades': 453783, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2019-2021_IS_2021-2022_OOS,21,2019-04-01,2021-01-01,2021-01-01,2022-01-01,1434,1434,1.000000,1.984179,-0.101842,454630,"{'total_return': 0.0, 'sharpe_ratio': 1.9841793146556104, 'max_drawdown': -0.10184209286762876, 'volatility': 0.776072535248756, 'num_trades': 454630, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2019-2021_IS_2021-2022_OOS,24,2019-01-01,2021-01-01,2021-01-01,2022-01-01,1433,1433,1.000000,1.983854,-0.101951,454206,"{'total_return': 0.0, 'sharpe_ratio': 1.9838539793139256, 'max_drawdown': -0.10195121820972215, 'volatility': 0.7766497943520249, 'num_trades': 454206, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2020-2022_IS_2022-2023_OOS,12,2021-01-01,2022-01-01,2022-01-01,2023-01-01,4008,4008,1.000000,0.859847,-0.150865,1242304,"{'total_return': 0.0, 'sharpe_ratio': 0.8598470993998393, 'max_drawdown': -0.15086471129968293, 'volatility': 0.6477978568526834, 'num_trades': 1242304, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2020-2022_IS_2022-2023_OOS,15,2020-10-01,2022-01-01,2022-01-01,2023-01-01,3874,3874,1.000000,0.859806,-0.154374,1206179,"{'total_return': 0.0, 'sharpe_ratio': 0.8598057565430244, 'max_drawdown': -0.1543740915256953, 'volatility': 0.668956024002582, 'num_trades': 1206179, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2020-2022_IS_2022-2023_OOS,18,2020-07-01,2022-01-01,2022-01-01,2023-01-01,3840,3840,1.000000,0.861095,-0.154965,1197806,"{'total_return': 0.0, 'sharpe_ratio': 0.8610950645702116, 'max_drawdown': -0.1549649414774453, 'volatility': 0.675241858060043, 'num_trades': 1197806, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2020-2022_IS_2022-2023_OOS,21,2020-04-01,2022-01-01,2022-01-01,2023-01-01,3824,3824,1.000000,0.857487,-0.157637,1193728,"{'total_return': 0.0, 'sharpe_ratio': 0.8574869477158193, 'max_drawdown': -0.15763700863060984, 'volatility': 0.6781632383058727, 'num_trades': 1193728, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2020-2022_IS_2022-2023_OOS,24,2020-01-01,2022-01-01,2022-01-01,2023-01-01,3814,3814,1.000000,0.857041,-0.158170,1191170,"{'total_return': 0.0, 'sharpe_ratio': 0.8570414362743022, 'max_drawdown': -0.1581702692083198, 'volatility': 0.6799037053135468, 'num_trades': 1191170, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2021-2023_IS_2023-2024_OOS,12,2022-01-01,2023-01-01,2023-01-01,2024-01-01,1421,1421,1.000000,3.543843,-0.091149,472074,"{'total_return': 0.0, 'sharpe_ratio': 3.543843046838454, 'max_drawdown': -0.09114890629325337, 'volatility': 0.14734477341030802, 'num_trades': 472074, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2021-2023_IS_2023-2024_OOS,15,2021-10-01,2023-01-01,2023-01-01,2024-01-01,1276,1276,1.000000,2.913949,-0.098964,425701,"{'total_return': 0.0, 'sharpe_ratio': 2.9139493496737536, 'max_drawdown': -0.09896397631513573, 'volatility': 0.14350288612004095, 'num_trades': 425701, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2021-2023_IS_2023-2024_OOS,18,2021-07-01,2023-01-01,2023-01-01,2024-01-01,1155,1155,1.000000,2.776150,-0.093155,386146,"{'total_return': 0.0, 'sharpe_ratio': 2.7761498276014867, 'max_drawdown': -0.09315540462834754, 'volatility': 0.14802927612769762, 'num_trades': 386146, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2021-2023_IS_2023-2024_OOS,21,2021-04-01,2023-01-01,2023-01-01,2024-01-01,1074,1074,1.000000,2.612320,-0.098193,360546,"{'total_return': 0.0, 'sharpe_ratio': 2.6123203371350088, 'max_drawdown': -0.09819335277294358, 'volatility': 0.15594599407022666, 'num_trades': 360546, 'initial_capital': 1000.0, 'final_value': 1000.0}"
2021-2023_IS_2023-2024_OOS,24,2021-01-01,2023-01-01,2023-01-01,2024-01-01,1068,1068,1.000000,2.686734,-0.099546,358370,"{'total_return': 0.0, 'sharpe_ratio': 2.6867343240362023, 'max_drawdown': -0.09954576917668197, 'volatility': 0.15686954832427466, 'num_trades': 358370, 'initial_capital': 1000.0, 'final_value': 1000.0}"
