trading_coin,reference_coin,trade_type,profit_factor,profit_factor_quantile,total_cumulative_return,max_drawdown,last_year_drawdown,num_trades,sharpe_ratio,drawdown_quantile
DOGE,HIVE,long,2.0128,0.0000,12.9254,-0.5794,-0.2994,277,1.2361,0.0000
BNB,DATA,long,1.9484,0.0000,10.3492,-0.2942,-0.2609,285,1.8799,0.0000
BNB,YFI,long,1.9474,0.0000,8.9045,-0.2942,-0.1897,261,1.8221,0.0000
MKR,BNT,long,1.9426,0.0000,12.3460,-0.3255,-0.2751,237,2.4278,0.0000
MKR,ZEC,long,1.9115,0.0000,13.8077,-0.3322,-0.1810,280,2.2463,0.0000
MANA,ETC,long,1.8751,0.0000,6.2800,-0.4484,-0.2992,219,1.3058,0.0000
BNB,STORJ,long,1.8375,0.0000,7.2902,-0.2782,-0.2316,280,1.6912,0.0000
DOGE,KNC,short,1.8309,0.0000,10.6575,-0.5690,-0.1660,274,1.9767,0.0000
MKR,NEO,long,1.8259,0.0000,11.9433,-0.4739,-0.2518,266,2.1023,0.0000
IOST,COTI,short,1.8180,0.0000,9.7221,-0.4162,-0.2272,253,2.6384,0.0000
BNB,DENT,long,1.7989,0.0000,14.9731,-0.2422,-0.2422,446,1.8373,0.0000
ETC,CKB,long,1.7849,0.0000,5.8103,-0.5570,-0.3000,264,1.1994,0.0000
MKR,DASH,long,1.7743,0.0000,9.8940,-0.2946,-0.1913,264,1.9050,0.0000
FIL,COS,short,1.7562,0.0000,9.4763,-0.2934,-0.2132,322,2.3600,0.0000
FIL,ASR,short,1.7531,0.0000,12.1356,-0.2703,-0.2703,332,2.3135,0.0000
FIL,CELO,short,1.7475,0.0000,8.2036,-0.4840,-0.2230,271,2.3312,0.0000
RUNE,ONG,short,1.7440,0.0000,23.3032,-0.5308,-0.2586,331,2.4826,0.0000
BAL,ONT,short,1.7355,0.0000,8.3710,-0.2680,-0.1256,245,2.6460,0.0000
MKR,LTC,long,1.7339,0.0000,7.9473,-0.2970,-0.2970,263,1.7850,0.0000
AAVE,BTC,short,1.7316,0.0000,7.0366,-0.2448,-0.2336,224,2.5440,0.0000
FIL,KNC,short,1.7035,0.0000,8.9712,-0.4353,-0.2273,278,2.2524,0.0000
AAVE,1INCH,short,1.6992,0.0000,7.0937,-0.3497,-0.1645,253,2.5906,0.0000
FIL,IOTX,short,1.6847,0.0000,6.8267,-0.4091,-0.1710,279,2.1434,0.0000
MANA,XTZ,short,1.6838,0.0000,7.4845,-0.3815,-0.1748,244,2.3123,0.0000
ENJ,STRAX,short,1.6785,0.0000,9.4399,-0.3612,-0.2353,301,2.3127,0.0000
MKR,KSM,long,1.6775,0.0000,7.2586,-0.4216,-0.2766,271,1.7905,0.0000
BNB,FUN,long,1.6763,0.0000,18.8019,-0.5427,-0.2112,503,1.4725,0.0000
ETH,BTC,short,1.6743,0.0000,16.5388,-0.4906,-0.1881,377,2.3736,0.0000
MKR,BAT,long,1.6701,0.0000,7.2826,-0.3303,-0.2805,266,1.7646,0.0000
TRB,ONT,short,1.6563,0.0000,11.7968,-0.6007,-0.2814,280,1.8770,0.0000
FIL,CHZ,short,1.6521,0.0000,6.1914,-0.3027,-0.2738,266,2.2189,0.0000
RUNE,CHZ,short,1.6492,0.0000,10.0475,-0.3660,-0.1975,271,2.0551,0.0000
EOS,STPT,short,1.6476,0.0000,7.4611,-0.3815,-0.1969,313,2.2802,0.0000
BAL,ATM,short,1.6431,0.0000,13.0447,-0.3384,-0.2945,340,2.2627,0.0000
AAVE,FUN,short,1.6281,0.0000,9.0805,-0.5425,-0.1719,304,2.2878,0.0000
ETH,ZRX,long,1.6206,0.0000,11.5503,-0.2420,-0.2116,416,2.2043,0.0000
MKR,NEO,short,1.6196,0.0000,4.8543,-0.3506,-0.2181,255,2.3212,0.0000
ZEN,CELR,short,1.6189,0.0000,7.1322,-0.4488,-0.2980,274,1.9381,0.0000
TRB,1INCH,short,1.6164,0.0000,9.7710,-0.6032,-0.2548,273,1.6389,0.0000
BNB,ZRX,long,1.6096,0.0000,8.6559,-0.3821,-0.2843,444,1.3507,0.0000
MKR,ETC,long,1.6084,0.0000,5.2913,-0.3501,-0.2465,250,1.5060,0.0000
RUNE,PSG,short,1.6082,0.0000,17.0305,-0.6240,-0.2232,351,2.0823,0.0000
BEL,SKL,short,1.6075,0.0000,9.7260,-0.4198,-0.2917,279,1.9135,0.0000
LTO,ETC,short,1.6027,0.0000,6.6312,-0.6399,-0.2133,257,1.6058,0.0000
BAL,NEO,short,1.6025,0.0000,4.3948,-0.2838,-0.2057,224,2.1478,0.0000
BNB,LTC,long,1.6021,0.0000,40.3819,-0.4903,-0.2340,589,1.6475,0.0000
MKR,ARPA,long,1.6004,0.0000,5.6955,-0.2975,-0.2975,291,1.7983,0.0000
BNB,XLM,long,1.5994,0.0000,17.2255,-0.5976,-0.2956,548,1.3290,0.0000
MKR,TRX,long,1.5966,0.0000,6.0021,-0.4026,-0.2952,269,1.5620,0.0000
AAVE,ZRX,short,1.5964,0.0000,4.6766,-0.2197,-0.1718,243,2.2159,0.0000
MANA,BNT,short,1.5938,0.0000,4.7443,-0.4189,-0.2347,236,1.8171,0.0000
RUNE,CELR,short,1.5919,0.0000,9.9219,-0.3697,-0.2913,266,2.0401,0.0000
DOGE,CKB,long,1.5901,0.0000,4.3761,-0.5716,-0.2386,267,1.0762,0.0000
BNB,CHZ,long,1.5898,0.0000,8.6826,-0.3030,-0.1995,439,1.6578,0.0000
COMP,KNC,short,1.5897,0.0000,8.4500,-0.2849,-0.2190,301,2.0648,0.0000
RUNE,LINK,long,1.5834,0.0000,10.8664,-0.5563,-0.2919,255,2.0101,0.0000
BAL,1INCH,short,1.5773,0.0000,4.6821,-0.4527,-0.2183,258,2.1082,0.0000
BNB,STPT,long,1.5754,0.0000,5.1227,-0.2813,-0.2813,325,1.4576,0.0000
AUDIO,EOS,short,1.5681,0.0000,6.5080,-0.3836,-0.2566,260,1.8257,0.0000
RUNE,STX,long,1.5678,0.0000,13.8966,-0.5654,-0.2384,298,1.8065,0.0000
AAVE,WING,short,1.5662,0.0000,7.8668,-0.4360,-0.2905,320,1.9031,0.0000
MKR,KAVA,short,1.5648,0.0000,6.9811,-0.5616,-0.1402,349,1.8317,0.0000
ZEN,UTK,short,1.5642,0.0000,9.0753,-0.4426,-0.2199,325,1.9412,0.0000
MKR,UNI,long,1.5624,0.0000,4.3358,-0.4118,-0.2121,254,1.5061,0.0000
BAL,FIO,short,1.5616,0.0000,6.8224,-0.3357,-0.2922,321,2.0181,0.0000
RUNE,UNI,long,1.5616,0.0000,9.6534,-0.4771,-0.2614,269,1.7939,0.0000
RUNE,TRX,short,1.5587,0.0000,10.5821,-0.4757,-0.2181,290,2.1393,0.0000
BNB,DASH,long,1.5579,0.0000,6.1323,-0.4197,-0.2660,378,1.2954,0.0000
AAVE,NEO,short,1.5549,0.0000,4.2228,-0.3298,-0.2795,227,1.9921,0.0000
MKR,AXS,long,1.5548,0.0000,5.4352,-0.4779,-0.2635,289,1.6240,0.0000
FLM,NEAR,short,1.5513,0.0000,6.0557,-0.5637,-0.1632,255,1.8213,0.0000
IOST,LTC,short,1.5499,0.0000,9.9571,-0.4003,-0.1287,383,1.7537,0.0000
RUNE,STPT,short,1.5496,0.0000,9.7135,-0.4401,-0.2336,320,2.0441,0.0000
BNB,ETH,long,1.5492,0.0000,26.6813,-0.5634,-0.2887,558,1.4285,0.0000
HBAR,KNC,short,1.5489,0.0000,4.2902,-0.5263,-0.1472,279,2.0847,0.0000
ETH,XRP,long,1.5488,0.0000,10.6229,-0.3149,-0.2015,474,1.7901,0.0000
BNB,HBAR,long,1.5481,0.0000,6.6587,-0.2940,-0.2603,462,1.2123,0.0000
BNB,HARD,long,1.5460,0.0000,4.0659,-0.3077,-0.2951,304,1.5698,0.0000
MKR,NKN,long,1.5453,0.0000,4.9747,-0.3895,-0.2502,299,1.6122,0.0000
BAL,PSG,short,1.5433,0.0000,8.3633,-0.3638,-0.2827,340,1.8380,0.0000
RUNE,ONT,short,1.5428,0.0000,7.6726,-0.3940,-0.2481,260,2.0001,0.0000
RUNE,IOTX,long,1.5415,0.0000,12.1651,-0.5804,-0.2847,293,1.7530,0.0000
ETH,CHZ,long,1.5408,0.0000,8.1764,-0.2472,-0.2257,430,1.8739,0.0000
CHR,XTZ,short,1.5391,0.0000,7.0538,-0.6866,-0.2595,266,1.5810,0.0000
COMP,JST,short,1.5365,0.0000,5.9979,-0.2807,-0.2807,304,1.8063,0.0000
TRB,AVA,short,1.5356,0.0000,12.2656,-0.5696,-0.2599,365,1.4892,0.0000
AXS,SAND,long,1.5355,0.0000,6.4966,-0.5908,-0.2887,239,1.4419,0.0000
MKR,ALGO,long,1.5344,0.0000,4.0411,-0.3143,-0.2154,260,1.4520,0.0000
RUNE,DGB,short,1.5319,0.0000,6.0709,-0.4854,-0.2518,266,1.7149,0.0000
BNB,TFUEL,long,1.5319,0.0000,8.0560,-0.4907,-0.2654,505,1.1573,0.0000
MKR,1INCH,short,1.5317,0.0000,4.6691,-0.4192,-0.2085,287,2.0879,0.0000
AAVE,AXS,both,1.5317,0.0000,46.1372,-0.6755,-0.2549,526,1.7425,0.0000
GRT,NEO,short,1.5311,0.0000,4.7368,-0.4153,-0.2400,237,2.0021,0.0000
MKR,HBAR,long,1.5301,0.0000,4.4708,-0.4673,-0.2663,275,1.3140,0.0000
AAVE,CHZ,short,1.5296,0.0000,5.1451,-0.4867,-0.1909,266,1.9595,0.0000
MKR,FUN,long,1.5296,0.0000,5.9497,-0.4261,-0.2328,305,1.4566,0.0000
NULS,SUSHI,short,1.5253,0.0000,6.2870,-0.6565,-0.2178,311,1.4412,0.0000
SAND,EOS,short,1.5245,0.0000,4.6101,-0.5485,-0.1665,228,1.7527,0.0000
RUNE,COTI,short,1.5214,0.0000,8.4332,-0.4379,-0.2148,281,1.9578,0.0000
IOST,KNC,short,1.5198,0.0000,4.7948,-0.3752,-0.2658,265,1.8434,0.0000
ENJ,ASR,short,1.5178,0.0000,6.7980,-0.4960,-0.1854,340,1.6568,0.0000
MKR,KAVA,both,1.5154,0.0000,34.1691,-0.6106,-0.2706,648,1.5171,0.0000
VET,AVA,short,1.5148,0.0000,4.9190,-0.3241,-0.2641,328,1.7148,0.0000
LINK,HIVE,short,1.5144,0.0000,4.8247,-0.3326,-0.1932,308,1.7960,0.0000
SXP,ONG,short,1.5134,0.0000,4.9320,-0.4674,-0.2280,296,1.5820,0.0000
AAVE,AXS,long,1.5133,0.0000,6.0868,-0.4343,-0.2538,266,1.6316,0.0000
ZEN,IOTX,short,1.5131,0.0000,4.8601,-0.4756,-0.1327,259,1.9164,0.0000
MKR,BNB,long,1.5127,0.0000,4.4743,-0.4821,-0.2698,270,1.4567,0.0000
LINK,HBAR,long,1.5119,0.0000,10.8584,-0.4858,-0.2129,430,1.5804,0.0000
ADA,BTC,long,1.5115,0.0000,14.9368,-0.3322,-0.2771,460,1.7919,0.0000
RUNE,IOTX,both,1.5104,0.0000,102.5643,-0.5921,-0.2673,588,1.6972,0.0000
ZEN,KNC,short,1.5100,0.0000,6.0687,-0.4456,-0.2252,292,1.7620,0.0000
FIL,MTL,short,1.5083,0.0000,4.8072,-0.5756,-0.1950,302,1.8462,0.0000
MKR,CHZ,short,1.5074,0.0000,4.3365,-0.3137,-0.2190,295,1.9338,0.0000
BAL,KMD,short,1.5061,0.0000,5.1081,-0.3059,-0.2512,319,1.8048,0.0000
RUNE,KAVA,short,1.5060,0.0000,8.8551,-0.5178,-0.2386,313,1.8208,0.0000
SNX,DCR,short,1.5022,0.0000,7.0461,-0.4586,-0.2818,324,1.8180,0.0000
SXP,COTI,short,1.5012,0.0000,4.1077,-0.5697,-0.2542,272,1.7705,0.0000
RUNE,XTZ,long,1.4951,0.0000,7.9315,-0.5780,-0.2224,285,1.5960,0.0000
FLM,LRC,short,1.4943,0.0000,4.7840,-0.4675,-0.2239,259,1.6742,0.0000
SXP,SKL,short,1.4908,0.0000,4.1741,-0.5148,-0.2215,280,1.5177,0.0000
TRB,KAVA,short,1.4897,0.0000,7.3007,-0.6998,-0.2420,332,1.3442,0.0000
BCH,ASR,short,1.4894,0.0000,4.2380,-0.3741,-0.2381,339,1.6421,0.0000
ZEN,DENT,short,1.4878,0.0000,4.1356,-0.4515,-0.2158,259,1.6764,0.0000
BAL,UTK,short,1.4785,0.0000,5.1023,-0.4174,-0.2326,316,1.6327,0.0000
RSR,STRAX,short,1.4768,0.0000,7.7901,-0.5242,-0.2508,339,1.7967,0.0000
BAL,HIVE,short,1.4766,0.0000,5.5318,-0.5083,-0.1536,326,1.6332,0.0000
RUNE,IOTX,short,1.4752,0.0000,6.8666,-0.3992,-0.1774,295,1.6414,0.0000
SXP,TRU,short,1.4745,0.0000,4.7582,-0.4791,-0.2044,309,1.5454,0.0000
SXP,HIVE,short,1.4726,0.0000,5.1060,-0.6432,-0.1927,310,1.5405,0.0000
AAVE,RLC,short,1.4714,0.0000,4.2656,-0.4043,-0.2153,293,1.7074,0.0000
ETH,FUN,long,1.4699,0.0000,7.3763,-0.3925,-0.2871,475,1.5794,0.0000
SAND,TRU,short,1.4679,0.0000,5.8727,-0.5070,-0.2656,307,1.6273,0.0000
BAL,KAVA,short,1.4675,0.0000,4.9304,-0.5146,-0.2141,304,1.7199,0.0000
LTO,KAVA,short,1.4663,0.0000,7.4490,-0.6993,-0.2169,348,1.4095,0.0000
BEL,HIVE,short,1.4648,0.0000,5.5005,-0.4522,-0.2979,321,1.2107,0.0000
ETH,DOGE,long,1.4638,0.0000,5.0196,-0.3964,-0.2917,387,1.6196,0.0000
AAVE,COTI,short,1.4618,0.0000,4.8178,-0.3696,-0.2821,287,1.7698,0.0000
BEL,OG,short,1.4617,0.0000,6.5797,-0.5513,-0.2903,340,1.3064,0.0000
RUNE,SKL,short,1.4585,0.0000,5.6473,-0.4437,-0.2740,270,1.5437,0.0000
RSR,KNC,short,1.4571,0.0000,5.5217,-0.6639,-0.2904,299,1.5812,0.0000
FLM,TRU,short,1.4571,0.0000,5.3962,-0.4408,-0.2326,316,1.4298,0.0000
RUNE,ONT,both,1.4465,0.0000,37.3768,-0.5392,-0.2824,524,1.4829,0.0000
OGN,AVA,short,1.4446,0.0000,6.4432,-0.6887,-0.2895,342,1.5030,0.2000
CRV,FUN,short,1.4394,0.0000,5.1746,-0.5451,-0.1751,318,1.3910,0.0000
IOTX,KNC,short,1.4390,0.0000,4.1468,-0.5519,-0.2787,296,1.3032,0.0000
CTXC,UNI,short,1.4388,0.0000,4.3812,-0.5936,-0.2779,313,1.2059,0.0000
MKR,IOTX,both,1.4375,0.0000,15.4886,-0.4808,-0.2367,601,1.2771,0.0000
CRV,CELO,long,1.4366,0.0000,5.6243,-0.5604,-0.2759,287,1.4559,0.0000
RUNE,LTO,short,1.4348,0.0000,4.6949,-0.3915,-0.2602,302,1.5274,0.0000
EGLD,HIVE,both,1.4344,0.0000,16.2910,-0.6796,-0.2790,648,1.1492,0.0000
LINK,ZEC,long,1.4341,0.0000,6.8038,-0.4507,-0.2585,380,1.3956,0.0000
BNB,COS,long,1.4336,0.0000,4.5194,-0.4239,-0.2666,514,0.9909,0.0000
RUNE,FLM,short,1.4292,0.0000,4.4172,-0.4042,-0.2565,271,1.5314,0.0000
CRV,TRX,short,1.4281,0.0000,4.8863,-0.5160,-0.2484,302,1.5256,0.0000
ETH,BAT,long,1.4264,0.0000,4.4916,-0.3791,-0.2437,384,1.4950,0.0000
CRV,COTI,short,1.4225,0.0000,4.8064,-0.4097,-0.2295,293,1.5720,0.0000
ZEN,AVA,short,1.4174,0.0000,4.4345,-0.4053,-0.2630,351,1.3542,0.0000
RUNE,OG,short,1.4169,0.0000,5.7851,-0.5525,-0.2249,355,1.4703,0.0000
ETH,COTI,both,1.4150,0.0000,9.2398,-0.3008,-0.2764,548,1.5565,0.0000
ATOM,HIVE,short,1.4144,0.0000,4.3056,-0.4276,-0.1823,319,1.5042,0.0000
NEAR,ONG,short,1.4115,0.0000,4.2836,-0.4573,-0.2718,316,1.4018,0.0000
AAVE,PSG,short,1.4114,0.0000,4.2386,-0.5860,-0.2822,335,1.4162,0.0000
RUNE,1INCH,long,1.4108,0.0000,5.3128,-0.6581,-0.1970,296,1.2956,0.0000
SNX,CELR,short,1.4061,0.0000,4.0697,-0.4710,-0.2814,304,1.3202,0.0000
SXP,TRU,both,1.4006,0.0000,16.1908,-0.5358,-0.2890,615,1.2927,0.0000
CRV,JST,short,1.3917,0.0000,4.7151,-0.5965,-0.2740,292,1.3837,0.0000
ETH,XLM,long,1.3749,0.0000,4.9730,-0.5873,-0.2911,509,1.2480,0.0000
ETH,LTC,long,1.3727,0.0000,5.1882,-0.4098,-0.2964,462,1.4098,0.0000
RSR,OG,short,1.3710,0.0000,4.8670,-0.6888,-0.2736,363,1.1750,0.0000
RUNE,WING,short,1.3692,0.0000,4.1673,-0.6470,-0.2624,343,1.2791,0.0000
BTC,STRAX,both,1.3654,0.0000,4.1294,-0.2899,-0.2528,587,1.3838,0.0000
IOST,CHZ,short,1.3633,0.0000,4.5074,-0.6430,-0.1199,454,1.1311,0.0000
RUNE,IOST,both,1.3610,0.0000,14.7439,-0.6190,-0.2908,517,1.1504,0.0000
LINK,ETC,long,1.3442,0.0000,7.8752,-0.4408,-0.2708,540,1.0941,0.0000
IOST,KAVA,short,1.3135,0.0000,4.1872,-0.6980,-0.2038,498,1.0072,0.0000
ETH,CHZ,both,1.3094,0.0000,10.8441,-0.4323,-0.2359,874,1.0675,0.0000
ETH,HIVE,both,1.3059,0.0000,5.1365,-0.3890,-0.2533,599,1.0985,0.0000
MKR,ZRX,both,1.2977,0.0000,4.2783,-0.5938,-0.2641,566,0.8051,0.0000
MKR,TRU,both,1.2856,0.0000,5.3610,-0.6080,-0.2700,643,0.8759,0.0000
ENJ,MDT,both,1.2610,0.0000,4.6927,-0.6167,-0.2834,653,0.6633,0.2000
ETH,FUN,both,1.2581,0.0000,7.0747,-0.7000,-0.2252,921,0.8664,0.0000
IOST,EOS,both,1.2355,0.0000,4.1847,-0.6909,-0.2897,754,0.5566,0.0000
ETH,ALGO,both,1.2221,0.0000,4.1437,-0.5636,-0.2797,829,0.7384,0.0000
